files,language,blank,comment,code
2242,Java,41941,139693,258772
89,C,11607,29992,60642
279,Groovy,6090,9347,43613
253,XML,2189,5855,19455
48,Bourne Shell,1879,4002,15537
148,Python,1156,4585,6342
71,C/C++ Header,1806,8430,4831
44,Perl,804,2999,4558
4,Web Services Description,503,297,2957
16,make,312,932,956
1,CSS,196,49,941
46,Ant,433,1548,676
3,m4,59,1,550
5,Bourne Again Shell,88,153,359
1,XSLT,25,70,323
5,HTML,52,142,165
4,JSON,0,0,106
2,YAML,1,0,86
5,INI,0,0,78
1,XSD,21,50,67
2,diff,32,86,41
5,CSV,2,0,17
3274,SUM,69196,208231,421072
